"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00043283","Adult- Age 22-59","V1","1","4","4","1","4","2","3","4","4","4","1","4","4","2","4","1","4","2","2","4","2","4","3","2","4","2","1","2","4","4","1","1","1","4","4","2","1","1","4","4","4","1","1","4","4","3","4","2","2","4","4","1","4","1","4","3","2","2","4","15","16","13","27","16","87"
"A00043721","ENROLLED","V1","1","4","2","1","4","1","4","4","4","4","1","4","4","1","4","1","4","4","1","4","1","4","2","1","4","3","1","1","4","4","4","1","2","4","4","2","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","2","4","1","4","4","4","4","4","12","12","10","21","14","69"
"A00033849","Adult- Age 22-59","V1","1","4","2","2","4","2","4","2","3","4","1","2","2","2","4","1","4","4","2","4","2","4","2","2","4","4","1","2","3","4","2","2","2","4","4","4","2","1","2","4","3","1","2","4","4","4","3","1","2","4","2","4","4","2","4","2","2","2","3","22","17","18","25","17","99"
"A00060602","Older Adult- Age 65-85","V1","1","4","1","1","4","1","2","1","4","4","4","2","3","2","4","1","3","3","2","4","3","4","2","1","4","2","1","1","4","4","1","1","1","4","3","3","1","1","2","4","4","1","1","4","3","3","4","1","1","3","3","4","3","2","3","4","2","3","2","22","16","12","29","23","102"
"A00041540","Adult- Age 22-59","V1","2","3","3","2","3","2","2","2","3","3","2","2","4","2","3","2","3","2","2","3","2","3","3","2","3","4","2","2","3","3","2","2","2","3","3","3","2","2","3","3","3","2","2","3","3","2","2","2","2","3","2","2","3","2","3","2","3","2","3","28","22","21","28","28","127"
"A00040382","Older Adult- Age 65-85","V1","2","4","2","1","4","1","3","2","2","4","1","2","4","1","4","1","1","3","1","4","1","2","4","2","4","4","1","1","2","4","4","1","1","2","4","1","1","1","2","4","4","1","1","2","4","4","1","1","1","4","3","4","4","2","4","4","4","2","3","32","12","16","20","15","95"
"A00040248","Older Adult- Age 65-85","V1","3","3","2","1","4","1","2","2","4","4","1","4","2","1","4","1","4","3","2","4","2","4","3","2","4","3","1","1","4","4","2","2","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","2","1","4","4","4","4","2","4","4","4","4","3","16","16","13","23","15","83"
"A00028287","Adult-Age 18-21","V1","2","3","2","1","4","2","3","1","3","4","4","4","4","2","4","4","3","1","2","3","3","3","4","2","4","1","1","1","4","4","4","2","2","3","4","2","2","2","3","4","4","2","2","3","3","4","4","2","2","2","2","1","3","2","2","1","4","4","4","22","26","17","31","21","117"
"A00052235","ENROLLED","V1","2","4","1","1","4","1","4","2","4","4","1","4","2","2","4","1","3","1","1","4","1","4","2","2","3","1","1","1","4","4","1","1","1","4","2","1","1","2","4","4","2","1","1","4","4","1","3","1","1","3","4","1","4","1","3","1","2","4","2","13","13","13","44","23","106"
"A00043384","Adult-Age 18-21","V1","3","3","3","1","4","1","2","4","3","4","1","4","3","2","4","1","4","4","2","4","2","4","4","2","4","4","2","1","4","4","3","2","1","4","4","4","1","1","2","4","4","1","2","4","4","4","4","1","1","4","4","2","4","3","4","3","4","4","4","19","15","16","18","14","82"
"A00057182","ENROLLED","V1","2","4","1","1","4","1","4","1","4","4","1","4","3","1","4","1","4","1","1","4","3","4","1","2","4","1","1","1","3","4","1","1","2","3","4","1","1","2","3","4","2","1","2","2","3","2","4","1","1","4","3","1","3","2","3","1","2","3","2","20","17","11","44","21","113"
"A00037386","Adult- Age 22-59","V1","4","4","2","1","4","1","1","2","4","4","1","4","2","2","4","1","4","2","2","4","2","4","2","1","4","3","2","1","3","4","2","1","1","4","4","4","1","2","3","4","4","4","1","4","4","4","4","1","1","4","2","1","4","2","4","2","4","4","4","20","16","16","30","14","96"
"A00041049","Adult- Age 22-59","V1","2","4","4","1","4","1","4","2","4","4","2","2","1","1","4","1","4","4","1","4","1","4","4","2","4","4","1","1","4","4","4","1","1","3","4","1","1","1","4","4","4","1","1","4","4","2","4","1","1","4","3","4","4","2","4","2","2","4","4","17","13","11","24","16","81"
"A00061001","ONE_DAY- Age 22-59","VA","2","4","2","1","4","1","2","2","4","4","4","4","1","1","4","1","4","2","4","4","1","4","2","2","4","4","1","2","4","4","2","2","2","3","4","4","2","2","3","4","2","1","2","3","4","4","4","2","1","4","2","4","4","2","3","1","2","4","4","20","20","16","30","17","103"
"A00066246","ONE_DAY- Age 22-59","VA","2","3","1","1","1","1","3","1","4","2","2","2","1","1","1","1","4","1","1","3","4","3","1","3","3","1","1","3","3","1","1","1","1","3","3","1","1","4","1","4","2","1","1","3","1","1","2","1","1","4","4","1","4","1","3","1","3","3","3","24","21","14","47","34","140"
"A00051548","ENROLLED","V1","2","2","3","1","4","2","2","1","4","4","1","4","4","1","4","2","4","1","1","4","1","4","3","1","4","4","1","2","4","4","3","2","2","3","4","1","1","2","3","4","4","1","2","4","4","1","3","1","1","4","4","2","4","2","4","1","2","4","4","19","18","12","32","16","97"
"A00038832","Adult-Age 18-21","V1","3","2","1","1","1","2","1","1","3","3","3","2","2","1","2","2","1","1","4","2","2","3","2","3","2","1","1","2","2","4","2","3","2","2","4","1","1","2","1","2","2","2","2","1","3","1","1","2","1","4","1","1","2","3","3","2","2","1","2","41","23","22","43","34","163"
"A00053546","Adult-Age 18-21","V1","2","4","2","2","3","1","2","2","3","4","1","2","1","2","4","2","3","2","2","4","2","3","1","2","4","1","1","1","2","4","2","3","2","3","4","4","2","3","2","3","2","2","2","4","4","2","2","2","2","4","3","2","2","2","3","1","4","4","4","25","20","21","38","19","123"
"A00039083","Older Adult- Age 65-85","V1","2","2","3","1","3","2","3","2","3","2","3","3","4","2","2","2","3","3","2","3","2","4","3","2","4","3","2","2","2","3","3","3","2","2","4","4","2","2","3","3","3","2","2","3","4","4","4","3","2","3","2","3","4","3","3","2","3","2","3","29","24","19","23","26","121"
"A00061210","ONE_DAY- Age 22-59","VA","2","3","2","1","3","1","4","3","4","2","3","2","1","1","3","1","4","2","2","3","2","2","3","1","4","4","1","1","3","4","1","1","1","4","2","2","2","2","1","3","2","1","1","3","4","2","4","2","1","4","3","2","3","3","3","1","4","2","2","27","17","12","35","26","117"
"A00065565","ONE_DAY-Age 65-85","VA","2","3","3","2","4","2","3","3","4","4","4","3","2","1","4","1","3","4","3","4","1","4","3","4","4","1","2","1","4","4","4","2","1","3","4","4","2","2","2","3","3","2","1","2","4","4","3","1","1","3","3","4","4","3","3","4","4","4","4","24","17","21","21","17","100"
"A00031549","Adult- Age 22-59","V1","1","2","2","2","4","1","2","4","3","4","1","4","4","1","4","1","4","2","1","4","1","4","4","3","4","4","2","2","2","4","3","3","1","4","4","4","2","2","3","4","2","2","1","4","4","4","4","1","2","4","4","2","4","2","4","2","2","4","4","20","14","19","23","16","92"
"A00035606","Adult- Age 22-59","V1","3","4","2","2","4","2","2","2","3","4","3","3","2","1","4","2","4","2","2","4","3","4","3","2","2","4","1","1","2","4","2","2","2","1","2","4","1","2","2","4","3","1","2","3","2","4","4","2","2","3","1","4","4","3","4","1","2","3","2","29","24","15","27","25","120"
"A00035378","Adult- Age 22-59","V1","1","4","2","1","4","1","1","3","4","4","4","2","4","1","4","2","4","4","2","4","1","4","4","1","4","4","1","1","4","4","2","1","1","2","4","4","1","2","4","4","4","1","1","1","4","4","2","1","1","4","2","4","4","3","4","4","3","4","2","26","16","13","17","17","89"
"A00060302","ENROLLED","V1","4","4","4","1","4","1","4","2","4","4","1","4","3","1","4","1","4","1","2","4","2","4","2","2","4","1","1","1","4","4","2","1","1","4","4","2","2","3","4","4","2","1","1","4","4","2","4","1","1","4","4","1","4","1","4","2","4","4","4","12","17","13","36","14","92"
"A00062292","ONE_DAY- Age 22-59","VA","1","2","1","1","4","1","3","4","4","4","3","2","2","2","3","1","4","4","2","4","1","2","4","2","4","4","1","1","4","4","4","1","2","4","4","4","1","1","1","4","4","1","1","4","3","4","4","1","1","4","2","1","3","2","3","2","3","3","2","26","14","13","22","21","96"
"A00058503","ENROLLED","V1","3","3","2","1","4","2","3","2","3","4","2","2","2","1","4","2","4","1","2","4","3","4","2","2","4","1","1","2","3","4","2","2","2","2","4","3","2","2","3","4","3","1","2","3","4","2","3","2","2","3","2","2","3","2","3","3","3","3","3","25","24","16","35","19","119"
"A00040890","Adult- Age 22-59","V1","2","3","2","2","4","2","2","3","3","3","2","3","3","2","3","2","3","1","2","4","2","3","2","2","4","1","2","2","4","4","2","2","2","2","4","3","2","2","2","4","2","2","2","4","4","4","3","2","2","3","3","1","4","2","3","4","2","4","3","24","22","20","32","21","119"
"A00060574","ONE_DAY- Age 22-59","VA","1","4","1","1","4","3","4","2","4","4","1","4","1","3","4","1","4","4","3","4","3","4","4","2","4","4","1","1","3","4","3","2","1","4","4","3","1","1","3","4","3","1","2","4","4","4","4","2","2","4","4","4","4","1","4","4","4","4","2","14","18","16","23","16","87"
"A00052180","Adult- Age 22-59","V1","1","4","2","1","4","2","3","3","4","4","2","3","2","2","3","2","4","1","2","4","3","4","4","2","4","4","1","1","3","4","3","2","2","4","4","4","1","1","4","4","2","1","1","4","3","4","2","1","2","4","4","1","3","2","4","4","2","2","3","18","18","16","26","20","98"
"A00051726","Adult-Age 18-21","V1","1","1","1","1","2","1","1","2","4","3","1","1","1","1","1","1","2","2","1","3","1","1","1","2","1","2","1","3","3","4","1","2","2","1","2","1","2","1","1","2","1","1","1","1","3","3","4","1","1","1","1","1","3","3","1","1","2","1","1","44","14","13","43","41","155"
"A00037081","Adult- Age 22-59","V1","1","3","2","1","4","2","4","3","3","3","2","3","2","1","3","2","3","2","2","2","3","3","1","2","2","3","1","2","2","3","3","2","2","2","3","1","2","1","3","3","2","2","2","2","3","4","3","2","1","2","1","1","3","3","3","1","2","2","2","30","20","17","35","32","134"
"A00030913","Adult-Age 18-21","V1","3","3","1","2","4","1","1","2","2","4","2","3","2","3","4","1","2","2","2","4","3","3","2","4","4","1","2","2","2","4","1","3","1","4","4","2","3","2","4","4","1","2","2","4","4","2","2","2","3","3","3","2","4","1","4","4","2","3","4","24","22","27","38","17","128"
"A00056097","Adult- Age 22-59","V1","3","4","2","2","3","2","2","2","3","3","1","3","3","2","3","2","3","2","2","3","3","3","2","2","3","2","2","2","3","3","2","2","2","3","3","2","1","2","4","3","2","1","1","3","3","2","3","2","2","3","3","1","3","2","2","3","2","3","2","23","22","18","35","31","129"
"A00064328","ONE_DAY-Age 65-85","VA","2","4","2","1","4","1","2","4","4","4","1","4","3","2","4","1","4","4","2","4","2","4","3","1","4","4","1","1","4","4","2","1","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","3","4","4","4","4","4","16","14","12","18","14","74"
"A00028605","Adult- Age 22-59","V1","3","3","2","2","4","2","3","4","3","4","3","2","3","3","4","2","4","3","2","4","4","4","2","2","4","4","2","2","4","4","1","3","2","3","4","2","1","3","3","4","4","2","3","3","4","2","2","3","3","4","3","2","4","2","4","2","3","4","4","21","30","22","29","15","117"
"A00066087","ONE_DAY","VA","2","3","1","1","1","1","4","3","3","4","4","3","1","1","4","2","3","2","1","3","3","2","3","2","2","4","2","1","2","3","2","3","2","3","2","2","2","1","2","2","3","2","2","3","3","2","3","1","2","3","3","4","3","3","3","1","3","3","1","27","21","18","32","33","131"
"A00037110","Adult- Age 22-59","V1","2","2","2","1","4","1","2","4","2","4","2","2","2","1","4","1","4","4","2","4","3","4","2","1","4","4","1","2","2","4","2","1","1","2","4","4","1","1","3","4","4","1","1","2","4","4","2","2","1","4","1","4","4","2","4","4","4","2","4","31","17","15","20","14","97"
"A00073308","ONE_DAY-Age 65-85","VA","3","4","2","1","4","2","3","4","4","4","1","4","3","1","4","2","4","3","2","4","2","4","3","2","4","4","1","1","4","4","2","1","1","4","4","2","1","2","4","4","3","1","1","4","4","4","4","2","1","4","4","3","4","2","4","2","4","4","4","14","18","12","25","14","83"
"A00031166","Adult-Age 18-21","V1","2","2","1","2","3","2","3","4","2","4","1","2","1","2","4","2","3","2","2","3","2","3","2","3","3","1","2","2","2","4","1","2","2","3","4","3","2","2","2","4","2","3","2","2","3","1","3","2","3","4","2","1","2","3","4","2","4","2","2","32","22","23","39","22","138"
"A00051513","Adult- Age 22-59","V1","3","3","2","1","4","2","3","4","3","4","2","3","3","3","4","2","3","2","2","4","2","3","3","2","3","2","2","2","3","4","2","2","2","3","3","1","1","2","3","4","2","1","2","3","3","1","3","2","2","2","3","1","3","2","3","2","3","2","3","25","23","18","35","23","124"
"A00029075","Older Adult- Age 65-85","V1","4","4","2","2","4","2","3","3","3","4","3","4","3","3","3","3","3","3","4","4","2","4","4","2","4","4","3","1","3","4","4","2","2","4","4","3","2","2","1","4","4","3","2","4","4","4","3","1","2","4","2","2","4","3","4","4","4","4","4","22","24","25","20","15","106"
"A00040891","Adult- Age 22-59","V1","3","4","2","2","4","1","4","2","4","4","1","2","4","4","4","1","4","4","2","4","2","4","4","1","3","4","1","1","4","4","2","1","1","4","4","4","2","1","3","4","4","1","1","1","2","4","3","1","1","4","4","4","3","1","4","4","4","4","3","18","14","17","18","19","86"
"A00032875","Adult- Age 22-59","V1","2","2","1","1","3","2","2","2","2","3","3","2","2","2","3","1","3","1","2","3","1","3","2","2","3","3","1","2","3","3","2","2","2","3","3","3","1","2","2","3","2","1","2","3","3","4","3","2","2","3","2","4","3","2","3","4","3","3","3","29","21","17","30","28","125"
"A00039249","Adult- Age 22-59","V1","2","3","2","1","3","1","3","3","3","4","3","2","2","2","3","1","3","3","2","3","3","2","2","2","3","2","2","2","2","4","1","2","2","2","3","2","2","2","2","4","2","1","2","3","3","3","2","3","2","3","3","3","3","3","3","4","3","3","3","30","23","19","31","25","128"
"A00039488","ENROLLED","V1REP","1","3","1","1","4","1","3","1","4","4","4","4","4","1","3","1","1","1","1","1","1","3","2","1","3","1","1","1","2","4","3","2","1","1","1","1","1","1","1","4","2","2","1","2","2","3","2","2","1","1","2","2","4","2","3","1","2","3","3","32","15","14","38","31","130"
"A00039783","Older Adult- Age 65-85","V1","2","3","1","1","4","1","4","1","1","4","1","3","3","3","4","2","4","1","1","4","3","3","4","1","4","4","2","2","4","4","1","3","1","4","4","3","2","1","4","4","2","2","1","4","4","4","2","1","1","4","4","3","4","2","4","4","4","2","4","18","16","22","29","14","99"
"A00033963","Older Adult- Age 65-85","V1","1","3","1","1","3","2","2","2","3","3","2","3","2","2","3","1","3","3","2","2","1","1","3","2","2","4","1","2","2","2","2","2","2","2","1","3","1","2","2","3","4","1","2","2","3","4","2","2","2","2","3","4","2","2","2","4","2","4","2","30","19","17","24","38","128"
"A00039700","Older Adult- Age 65-85","V1","2","2","2","3","4","2","2","4","2","4","3","4","4","3","4","2","4","4","3","4","3","4","2","3","4","4","3","2","4","4","2","3","2","3","4","3","2","2","3","4","4","3","2","2","4","4","2","2","2","4","3","4","4","3","4","4","4","2","4","25","24","29","19","14","111"
"A00039431","Adult- Age 22-59","V1","3","4","3","1","4","1","4","4","3","4","1","4","4","1","4","1","4","4","1","4","3","4","4","2","4","4","1","1","4","4","4","1","2","2","4","4","1","2","4","4","4","1","2","4","4","4","1","1","1","4","2","4","4","3","4","4","4","4","4","18","18","15","13","14","78"
"A00055447","ENROLLED","V1","2","4","3","1","4","1","4","1","4","4","1","2","4","1","4","1","4","2","2","4","1","4","2","1","4","2","1","1","4","4","2","2","1","4","4","1","1","3","4","4","2","1","2","4","4","2","3","1","1","4","4","3","4","1","4","1","3","3","4","15","15","13","35","15","93"
"A00043790","Adult- Age 22-59","V1","2","4","4","1","4","1","3","4","4","4","1","4","4","2","4","1","4","2","2","4","2","4","4","1","4","4","2","1","4","4","4","2","1","4","4","4","2","1","4","4","4","2","2","4","4","4","3","2","2","4","4","4","4","2","4","4","4","4","4","14","16","17","14","14","75"
"A00034854","ENROLLED","V1REP","2","2","1","1","4","1","2","2","3","4","1","4","4","2","4","1","3","4","2","4","1","4","4","2","4","3","1","1","4","4","2","1","1","4","4","3","2","2","2","4","3","2","1","4","4","3","3","1","2","4","4","4","4","1","4","3","4","4","4","19","14","17","24","14","88"
"A00058214","ENROLLED","V1","2","4","1","1","4","1","1","2","3","4","1","4","2","2","4","2","3","2","2","4","1","4","2","2","4","2","2","1","3","4","2","1","1","2","4","3","2","2","3","4","2","1","2","3","4","2","4","1","1","4","2","4","3","2","4","3","2","3","4","25","15","16","33","17","106"
"A00028192","Adult- Age 22-59","V1","3","2","2","2","3","2","2","2","4","3","2","3","2","2","3","2","3","1","2","3","2","4","2","2","3","4","1","2","3","4","2","2","2","2","4","3","1","2","2","3","2","2","2","3","3","2","3","2","2","3","2","1","3","2","3","1","3","2","3","29","23","17","36","26","131"
"A00063110","ONE_DAY- Age 22-59","VA","1","4","2","1","4","1","2","3","3","3","2","3","4","2","4","1","4","2","2","4","2","4","4","2","4","2","2","1","3","4","2","2","1","4","4","2","2","2","3","4","2","2","2","4","4","2","2","1","1","4","4","1","4","3","4","4","4","4","3","19","15","20","30","16","100"
"A00058621","ENROLLED","V1","2","4","2","1","4","2","2","1","3","4","3","4","4","1","4","2","3","1","2","3","3","4","2","2","3","1","1","2","2","4","2","1","2","2","4","3","2","2","3","4","3","1","2","2","3","2","3","2","2","4","2","2","4","2","4","2","3","2","4","27","24","15","35","18","119"
"A00038605","Adult-Age 18-21","V1","1","4","4","1","4","1","3","4","2","4","1","4","4","2","4","1","3","2","4","4","1","4","4","1","4","3","2","1","3","4","4","2","2","4","4","4","2","1","3","4","4","2","1","4","4","4","3","1","1","4","4","1","4","2","4","4","2","4","4","17","12","21","18","16","84"
"A00033834","Adult- Age 22-59","V1","1","4","4","1","4","1","4","4","4","4","1","4","4","1","4","1","4","4","1","4","2","4","4","1","4","4","1","1","4","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","1","4","4","4","4","4","12","12","10","14","14","62"
"A00062942","ONE_DAY","VA","2","2","1","1","2","2","2","2","3","3","2","3","2","2","3","2","4","1","1","3","3","4","2","3","3","2","1","2","4","4","3","1","2","3","4","4","1","2","2","4","3","1","2","4","4","2","4","2","2","3","4","1","3","2","4","4","4","4","4","21","23","14","33","22","113"
"A00044291","Adult- Age 22-59","V1","2","3","3","2","3","2","4","3","3","3","2","3","3","3","3","2","3","3","3","3","3","3","3","2","3","4","2","2","3","3","3","2","3","3","3","3","2","2","2","4","2","2","3","3","3","3","3","3","2","3","3","2","3","2","3","3","3","3","3","24","26","22","25","27","124"
"A00063589","ONE_DAY","VA","4","3","1","2","4","2","2","1","3","4","3","3","2","1","4","2","2","2","2","4","2","3","1","2","4","1","2","1","3","4","1","1","2","3","4","1","2","3","3","4","1","1","3","4","4","2","3","3","2","4","3","1","4","2","4","2","4","2","4","26","27","17","44","14","128"
"A00051658","Adult-Age 18-21","V1","4","3","1","1","2","3","2","1","3","3","4","3","1","2","4","2","4","1","1","3","2","2","1","3","3","1","1","3","2","3","1","2","3","1","2","2","1","3","2","3","2","2","3","2","3","1","2","3","3","3","1","1","3","3","3","2","3","1","1","35","33","18","45","31","162"
"A00039639","Older Adult- Age 65-85","V1","2","4","2","2","3","2","3","2","3","3","2","3","3","2","3","2","3","4","2","3","2","3","3","2","3","4","2","2","3","3","3","2","2","3","3","4","2","2","3","3","3","2","2","3","3","4","2","2","2","3","3","4","3","2","3","3","3","3","3","23","22","21","21","28","115"
